硬件加速,网络缓存值,启用音频的时间伸缩,跳帧,去块滤镜设置,启用耳机侦测,音频输出,yzq
2.0,70.0,0.0,1.0,0.0,1.0,1.0,8.5236
0.0,100.0,1.0,1.0,0.0,1.0,1.0,9.90715
0.0,70.0,0.0,0.0,1.0,1.0,0.0,9.8068
2.0,70.0,1.0,1.0,1.0,1.0,0.0,8.802539999999997
2.0,0.0,1.0,0.0,0.0,0.0,1.0,8.6855
0.0,70.0,0.0,1.0,0.0,1.0,1.0,9.980830000000001
0.0,70.0,1.0,1.0,1.0,0.0,0.0,9.889339999999999
2.0,70.0,1.0,1.0,0.0,0.0,0.0,8.34875
0.0,70.0,0.0,1.0,1.0,1.0,1.0,10.4616
0.0,100.0,1.0,0.0,1.0,1.0,0.0,9.9151
1.0,30.0,0.0,1.0,0.0,1.0,0.0,10.0813
1.0,100.0,0.0,0.0,0.0,1.0,1.0,10.03
1.0,70.0,1.0,1.0,1.0,0.0,0.0,9.9478
2.0,0.0,1.0,1.0,0.0,0.0,1.0,8.66513
0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.9153
1.0,100.0,0.0,1.0,0.0,0.0,0.0,10.3206
1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.193
1.0,0.0,0.0,1.0,1.0,0.0,1.0,10.4516
0.0,70.0,1.0,0.0,1.0,1.0,1.0,10.3925
1.0,100.0,1.0,0.0,0.0,1.0,1.0,10.514000000000001
2.0,100.0,1.0,1.0,0.0,0.0,1.0,8.35496
2.0,70.0,1.0,1.0,0.0,0.0,1.0,8.8238
2.0,70.0,1.0,0.0,0.0,0.0,0.0,8.5671
2.0,0.0,1.0,1.0,0.0,1.0,0.0,8.45312
2.0,70.0,0.0,1.0,0.0,1.0,0.0,8.41028
2.0,70.0,0.0,1.0,0.0,0.0,0.0,8.41699
2.0,100.0,1.0,1.0,0.0,1.0,0.0,8.54585
2.0,70.0,1.0,1.0,0.0,1.0,0.0,8.57361
2.0,30.0,1.0,1.0,0.0,0.0,0.0,8.50282
2.0,100.0,1.0,1.0,0.0,0.0,0.0,8.45693
2.0,100.0,0.0,0.0,0.0,0.0,1.0,8.5268
