网络缓存值,优先使用SMB v1协议,启用音频的时间伸缩,跳帧,硬件加速,首选视频分辨率,启用回放增益,音频输出,yzq_avg
2000.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,65.84056
500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,62.20260667
500.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,64.97274267
500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,68.71933333
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,65.379411
500.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,62.33166667
1000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,65.44518167
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,65.51621607
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,65.364159
1000.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,65.094861
0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,65.39257333
1000.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,61.373999999999995
500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,61.985
500.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,67.40771433
2000.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,66.18041733
500.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,62.65666667
2000.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,62.47966667
1000.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,65.88833333
2000.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,65.73805267
1000.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,65.63073633
2000.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,61.418
1000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,60.725
2000.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,61.563
1000.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,61.038000000000004
1000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,61.83
1000.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,61.71100000000001
1000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.17100000000001
1000.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,62.355
1000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,61.703
2000.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,62.919
500.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,62.701
1000.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,61.023999999999994
1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.024
